1801,,CD06,35,10,,,,,,PULS,X,PULL DIRECTORY POINTER OFF OF THE STACK
1802,,CD08,30,88,20,,,,LCD08,LEAX,"DIRLEN,X",MOVE X TO NEXT DIRECTORY ENTRY
1803,,CD0B,8C,07,00,,,,,CMPX,#DBUF0+SECLEN,END OF I/O BUFFER?
1804,,CD0E,25,B5,,,,,,BLO,LCCC5,BRANCH IF MORE DIRECTORY ENTRIES IN BUFFER
1805,,CD10,D6,ED,,,,,,LDB,DSEC,GET CURRENT SECTOR
1806,,CD12,5C,,,,,,,INCB,,BUMP COUNT
1807,,CD13,C1,12,,,,,,CMPB,#SECMAX,SECMAX SECTORS IN DIRECTORY TRACK
1808,,CD15,23,A4,,,,,,BLS,LCCBB,GET NEXT SECTOR
1809,,CD17,39,,,,,,LCD17,RTS,,FINISHED
1810,,CD18,BD,A2,82,,,,LCD18,JSR,LA282,SEND CHARACTER TO CONSOLE OUT
1811,,CD1B,7E,B9,AC,,,,LCD1B,JMP,LB9AC,SEND BLANK TO CONSOLE OUT
1812,,,,,,,,,,,,
1813,,,,,,,,,* ENTER WITH ACCB POINTING TO FIRST GRANULE IN A FILE; RETURN THE NUMBER OF,,,
1814,,,,,,,,,"* GRANULES IN THE FILE IN ACCA, THE GRANULE DATA FOR THE LAST SECTOR IN ACCB",,,
1815,,CD1E,BD,C7,55,,,,LCD1E,JSR,LC755,POINT X TO FILE ALLOCATION BUFFER
1816,,CD21,33,06,,,,,,LEAU,"FATCON,X",POINT U TO START OF GRANULE DATA
1817,,CD23,4F,,,,,,,CLRA,,RESET GRANULE COUNTER
1818,,CD24,4C,,,,,,LCD24,INCA,,INCREMENT GRANULE COUNTER
1819,,CD25,81,44,,,,,,CMPA,#GRANMX,CHECKED ALL 68 GRANULES?
1820,,CD27,10,22,F9,28,,,,LBHI,LC653,YES - 'BAD FILE STRUCTURE' ERROR
1821,,CD2B,30,C4,,,,,,LEAX,",U",POINT U TO START OF GRANULE DATA
1822,,CD2D,3A,,,,,,,ABX,,ADD POINTER TO FIRST GRANULE
1823,,CD2E,E6,84,,,,,,LDB,",X",GET THIS GRANULE'S CONTROL BYTE
1824,,CD30,C1,C0,,,,,,CMPB,#$C0,IS THIS THE LAST GRANULE IN FILE?
1825,,CD32,25,F0,,,,,,BLO,LCD24,NO - KEEP GOING
1826,,CD34,39,,,,,,,RTS,,
1827,,,,,,,,,,,,
1828,,,,,,,,,* INPUT RAM HOOK,,,
1829,,CD35,0D,6F,,,,,DVEC10,TST,DEVNUM,* CHECK DEVICE NUMBER AND RETURN
1830,,CD37,2F,5E,,,,,,BLE,LCD97,* IF NOT A DISK FILE
1831,,CD39,8E,B0,69,,,,,LDX,#LB069,= CHANGE THE RETURN ADDRESS ON THE STACK TO RE-ENTER BASIC'S INPUT
1832,,CD3C,AF,E4,,,,,,STX,",S",= ROUTINE AT A DIFFERENT PLACE THAN THE CALLING ROUTINE
1833,,CD3E,8E,02,DD,,,,,LDX,#LINBUF+1,POINT X TO THE LINE INPUT BUFFER
1834,,CD41,C6,2C,,,,,,LDB,"#','",=
1835,,CD43,D7,01,,,,,,STB,CHARAC,=COMMA IS READ ITEM SEPARATOR (TEMPORARY STRING SEARCH FLAG)
1836,,CD45,96,06,,,,,,LDA,VALTYP,* GET VARIABLE TYPE AND BRANCH IF
1837,,CD47,26,02,,,,,,BNE,LCD4B,* IT IS A STRING
1838,,CD49,C6,20,,,,,,LDB,#SPACE,SPACE = NUMERIC SEARCH DELIMITER
1839,,CD4B,8D,6F,,,,,LCD4B,BSR,LCDBC,GET AN INPUT CHARACTER
1840,,CD4D,81,20,,,,,,CMPA,#SPACE,SPACE?
1841,,CD4F,27,FA,,,,,,BEQ,LCD4B,YES - GET ANOTHER CHARACTER
1842,,CD51,81,22,,,,,,CMPA,"#'""'",QUOTE?
1843,,CD53,26,0A,,,,,,BNE,LCD5F,NO
1844,,CD55,C1,2C,,,,,,CMPB,"#','",SEARCH CHARACTER = COMMA?
1845,,CD57,26,06,,,,,,BNE,LCD5F,NO - NUMERIC SEARCH
1846,,CD59,1F,89,,,,,,TFR,"A,B",* SAVE DOUBLE QUOTE AS
1847,,CD5B,D7,01,,,,,,STB,CHARAC,* THE SEARCH FLAG
1848,,CD5D,20,22,,,,,,BRA,LCD81,SAVE DOUBLE QUOTES AS FIRST ITEM IN BUFFER
1849,,,,,,,,,,,,
1850,,CD5F,C1,22,,,,,LCD5F,CMPB,"#'""'",*
1851,,CD61,27,11,,,,,,BEQ,LCD74,*BRANCH IF INPUTTING A STRING VARIABLE
1852,,CD63,81,0D,,,,,,CMPA,#CR,IS THE INPUT CHARACTER A CARRIAGE RETURN
1853,,CD65,26,0D,,,,,,BNE,LCD74,NO
1854,,CD67,8C,02,DD,,,,,CMPX,#LINBUF+1,"*IF AT THE START OF INPUTBUFFER, CHECK FOR A"
1855,,CD6A,27,44,,,,,,BEQ,LCDB0,*FOLLOWING LINE FEED AND EXIT ROUTINE
1856,,CD6C,A6,1F,,,,,,LDA,"-1,X","=IF THE INPUT CHARACTER PRECEEDING THE CR WAS A LINE FEED,"
1857,,CD6E,81,0A,,,,,,CMPA,#LF,"=THEN INSERT THE CR IN THE INPUT STRING, OTHERWISE"
1858,,CD70,26,3E,,,,,,BNE,LCDB0,=CHECK FOR A FOLLOWING LINE FEED AND EXIT THE ROUTINE
1859,,CD72,86,0D,,,,,,LDA,#CR,RESTORE CARRIAGE RETURN AS THE INPUT CHARACTER
1860,,CD74,4D,,,,,,LCD74,TSTA,,*CHECK FOR A NULL (ZERO) INPUT CHARACTER AND
