1801,,EA1B,C0,01,,,,,,SUBB,#$01,ADJUST OUT MODE 0 (WHY NOT DECB)
1802,,EA1D,58,,,,,,,ALSB,,TWO BYTES PER ENTRY
1803,,EA1E,EE,C5,,,,,,LDU,"B,U",GET JUMP ADDRESS
1804,,EA20,39,,,,,,,RTS,,
1805,,,,,,,,,,,,
1806,,EA21,CE,EA,45,,,,LEA21,LDU,#LEA45,POINT U TO ROUTINE TO MOVE ABSOLUTE POS DOWN ONE ROW
1807,,EA24,39,,,,,,,RTS,,
1808,,,,,,,,,,,,
1809,,,,,,,,,* JUMP TABLE OF ADDRESSES OF ROUTINES WHICH WILL MOVE THE,,,
1810,,,,,,,,,* ABSOLUTE SCREEN ADDRESS POINTER ONE PIXEL TO THE RIGHT,,,
1811,,EA25,EA,34,,,,,LEA25,FDB,LEA34,HSCREEN 1
1812,,EA27,EA,3D,,,,,LEA27,FDB,LEA3D,HSCREEN 2
1813,,EA29,EA,2D,,,,,LEA29,FDB,LEA2D,HSCREEN 3
1814,,EA2B,EA,34,,,,,LEA2B,FDB,LEA34,HSCREEN 4
1815,,,,,,,,,,,,
1816,,,,,,,,,"* ENTER WITH ABSOLUTE SCREEN POSITION IN X, PIXEL MASK",,,
1817,,,,,,,,,* IN ACCA - ADJUST X AND ACCA TO THE NEXT PIXEL TO THE RIGHT FOR HSCREEN 3,,,
1818,,EA2D,44,,,,,,LEA2D,LSRA,,SHIFT ONE BIT TO THE RIGHT
1819,,EA2E,24,03,,,,,,BCC,LEA33,BRANCH IF SAME BYTE
1820,,EA30,46,,,,,,,RORA,,SET BIT 7 OF ACCA IF JUST MOVED TO NEXT BYTE
1821,,EA31,30,01,,,,,,LEAX,"$01,X",ADD ONE TO SCREEN POSITION
1822,,EA33,39,,,,,,LEA33,RTS,,
1823,,,,,,,,,,,,
1824,,,,,,,,,"* ENTER WITH ABSOLUTE SCREEN POSITION IN X, PIXEL MASK IN ACCA -",,,
1825,,,,,,,,,* ADJUST X AND ACCA TO THE NEXT PIXEL TO THE RIGHT FOR HSCREEN 1 & 4,,,
1826,,EA34,44,,,,,,LEA34,LSRA,,SHIFT MASK ONE BIT TO THE RIGHT
1827,,EA35,44,,,,,,,LSRA,,DO IT AGAIN
1828,,EA36,24,FB,,,,,,BCC,LEA33,BRANCH IF SAME BYTE
1829,,EA38,86,C0,,,,,,LDA,#$C0,SET PIXEL #3 IF NEW BYTE
1830,,EA3A,30,01,,,,,,LEAX,"$01,X",ADD ONE TO SCREEN ADDRESS
1831,,EA3C,39,,,,,,,RTS,,
1832,,,,,,,,,,,,
1833,,,,,,,,,"* ENTER WITH ABSOLUTE SCREEN POSITION IN X, PIXEL MASK IN ACCA -",,,
1834,,,,,,,,,* ADJUST X AND ACCA TO THE NEXT PIXEL TO THE RIGHT FOR HSREEN 2,,,
1835,,EA3D,43,,,,,,LEA3D,COMA,,SET TO ALTERNATE PIXEL
1836,,EA3E,81,F0,,,,,,CMPA,#$F0,SEE IF TOP HALF OF BYTE
1837,,EA40,26,02,,,,,,BNE,LEA44,BRANCH IF SAME BYTE
1838,,EA42,30,01,,,,,,LEAX,"$01,X",MOVE POINTER TO NEXT SCREEN ADDRESS
1839,,EA44,39,,,,,,LEA44,RTS,,
1840,,,,,,,,,,,,
1841,,,,,,,,,* ROUTINE TO MOVE DOWN ONE ROW,,,
1842,,,,,,,,,* ENTER WITH ABSOLUTE SCREEN ADDRESS IN X,,,
1843,,EA45,D6,B9,,,,,LEA45,LDB,HORBYT,GET NUMBER OF BYTES PER HORIZONTAL GRAPHICS ROW
1844,,EA47,3A,,,,,,,ABX,,ADD A ROW TO CURRENT ADDRESS (MOVE DOWN ONE ROW)
1845,,EA48,39,,,,,,,RTS,,
1846,,,,,,,,,,,,
1847,,,,,,,,,* HCIRCLE,,,
1848,,EA49,0D,E6,,,,,HCIRCLE,TST,HRMODE,CHECK HI-RES GRAPHICS MODE
1849,,EA4B,10,27,FC,A0,,,,LBEQ,LE6EF,BRANCH IF NOT HI-RES GRAPHICS
1850,,EA4F,10,21,15,AD,,,,LBRN,RAMLINK,RAM HOOK
1851,,EA53,81,40,,,,,,CMPA,#'@',CHECK FOR @ SIGN (HCIRCLE@ IS LEGAL SYNTAX)
1852,,EA55,26,02,,,,,,BNE,LEA59,BRANCH IF NOT
1853,,EA57,9D,9F,,,,,,JSR,GETNCH,GET THE NEXT CHARACTER FROM BASIC'S INPUT LINE
1854,,EA59,BD,EB,60,,,,LEA59,JSR,LEB60,GET MAX HORIZONTAL & VERTICAL COORD VALUES AND PUT THEM IN VD3 & VD5
1855,,EA5C,BD,EA,04,,,,,JSR,LEA04,GET HORIZONTAL & VERTICAL CENTER COORDS AND PUT THEM IN VBD AND VBF
1856,,EA5F,BD,E7,AD,,,,,JSR,LE7AD,NORMALIZE START COORDS FOR PROPER HI-RES GRAPHICS MODE
1857,,EA62,AE,C4,,,,,,LDX,",U",GET HORIZONTAL COORD
1858,,EA64,9F,CB,,,,,,STX,VCB,SAVE IT
1859,,EA66,AE,42,,,,,,LDX,"$02,U",GET VERTICAL COORD
1860,,EA68,9F,CD,,,,,,STX,VCD,SAVE IT
1861,,EA6A,BD,B2,6D,,,,,JSR,SYNCOMMA,DO A SYNTAX CHECK FOR A COMMA
1862,,EA6D,BD,B7,3D,,,,,JSR,LB73D,"EVALUATE EXPRESSION, RETURN VALUE IN X"
1863,,EA70,CE,00,CF,,,,,LDU,#VCF,POINT U TO TEMP DATA STORAGE
1864,,EA73,AF,C4,,,,,,STX,",U",SAVE RADIUS
1865,,EA75,BD,E7,B0,,,,,JSR,LE7B0,NOW A JSR TO AN RTS; WAS A CALL TO A NORMALIZATION ROUTINE
1866,,EA78,86,01,,,,,,LDA,#$01,PSET FLAG
1867,,EA7A,97,C2,,,,,,STA,SETFLG,SAVE PSET/PRESET FLAG
1868,,EA7C,BD,E7,18,,,,,JSR,LE718,GO EVALUATE COLOR EXPRESSION AND SAVE VALUE
1869,,EA7F,8E,01,00,,,,,LDX,#$100,DEFAULT HEIGHT/WIDTH RATIO
1870,,EA82,9D,A5,,,,,,JSR,GETCCH,GET BASIC'S CURRENT INPUT CHARACTER
1871,,EA84,27,0F,,,,,,BEQ,LEA95,BRANCH IF NONE
1872,,EA86,BD,B2,6D,,,,,JSR,SYNCOMMA,DO A SYNTAX CHECK FOR A COMMA
1873,,EA89,BD,B1,41,,,,,JSR,LB141,EVALUATE A NUMERIC EXPRESSION
1874,,EA8C,96,4F,,,,,,LDA,FP0EXP,GET FPA0 EXPONENT
1875,,EA8E,8B,08,,,,,,ADDA,#$08,ADD 8 TO IT (EFFECTIVELY MULTIPLIES BY 256)
1876,,EA90,97,4F,,,,,,STA,FP0EXP,SAVE NEW VALUE
1877,,EA92,BD,B7,40,,,,,JSR,LB740,"EVALUATE EXPRESSION, RETURN VALUE IN X"
1878,,EA95,96,E6,,,,,LEA95,LDA,HRMODE,GET CURRENT HI-RES GRAPHICS MODE
1879,,EA97,81,02,,,,,,CMPA,#$02,SEE WHICH MODE IT IS
1880,,EA99,22,04,,,,,,BHI,LEA9F,BRANCH IF HSCREEN 4
1881,,EA9B,1F,10,,,,,,TFR,"X,D",PREPARE TO DOUBLE THE HEIGHT/WIDTH RATIO FOR MODES 0-2
1882,,EA9D,30,8B,,,,,,LEAX,"D,X",DOUBLE H/W RATIO TO COMPENSATE FOR HORIZONTAL PIXEL SIZE
1883,,EA9F,9F,D1,,,,,LEA9F,STX,VD1,SAVE H/W RATIO
1884,,EAA1,C6,01,,,,,,LDB,#$01,CODE FOR PSET
1885,,EAA3,D7,C2,,,,,,STB,SETFLG,SET PSET/PRESET FLAG TO PSET
1886,,EAA5,D7,D8,,,,,,STB,VD8,FIRST TIME FLAG - SET TO 0 AFTER ARC DRAWN
1887,,EAA7,BD,EB,7B,,,,,JSR,LEB7B,"EVALUATE CIRCLE START POINT (OCTANT, SUBARC)"
1888,,EAAA,34,06,,,,,,PSHS,"B,A",SAVE START POINT
1889,,EAAC,BD,EB,7B,,,,,JSR,LEB7B,"EVALUATE CIRCLE END POINT (OCTANT, SUBARC)"
1890,,EAAF,DD,D9,,,,,,STD,VD9,SAVE END POINT
1891,,EAB1,35,06,,,,,,PULS,"A,B",GET BACK START POINT
1892,,EAB3,34,06,,,,,LEAB3,PSHS,"B,A",STORE CURRENT CIRCLE POSITION
1893,,EAB5,9E,C3,,,,,,LDX,HOREND,GET END HORIZONTAL COORD
1894,,EAB7,9F,BD,,,,,,STX,HORBEG,MAKE IT THE NEW START
1895,,EAB9,9E,C5,,,,,,LDX,VEREND,GET END VERTICAL COORD
1896,,EABB,9F,BF,,,,,,STX,VERBEG,MAKE IT THE NEW START
1897,,EABD,CE,EB,9B,,,,,LDU,#LEB9B,POINT TO TABLE OF SINES AND COSINES
1898,,EAC0,84,01,,,,,,ANDA,#$01,TEST OCTANT NUMBER
1899,,EAC2,27,03,,,,,,BEQ,LEAC7,BRANCH IF EVEN
1900,,EAC4,50,,,,,,,NEGB,,
1901,,EAC5,CB,08,,,,,,ADDB,#$08,CONVERT 0-7 TO 8-1 FOR ODD OCTANT NUMBERS
1902,,EAC7,58,,,,,,LEAC7,ALSB,,MUL BY 2
1903,,EAC8,58,,,,,,,ALSB,,DO IT AGAIN (FOUR BYTES PER TABLE ENTRY)
1904,,EAC9,33,C5,,,,,,LEAU,"B,U",POINT TO CORRECT TABLE ENTRY
1905,,EACB,34,40,,,,,,PSHS,U,SAVE SIN/COS TABLE ENTRY
1906,,EACD,BD,EB,BD,,,,,JSR,LEBBD,CALCULATE HORIZONTAL OFFSET
1907,,EAD0,35,40,,,,,,PULS,U,GET BACK SIN/COS TABLE POINTER
1908,,EAD2,33,5E,,,,,,LEAU,"$-02,U",MOVE TO COSINE (VERTICAL)
