3001,,,,,,,,,* 225 DEGREES,,,
3002,,F47D,96,D3,,,,,LF47D,LDA,VD3,NOW ACCD = VALUE OF THE SUBCOMMAND
3003,,F47F,1F,01,,,,,,TFR,"D,X",COPY HORIZONTAL DIFFERENCE TO VERTICAL DIFFERENCE
3004,,F481,8D,49,,,,,,BSR,NEGACCD,MAKE HORIZONTAL DIFFERENCE NEGATIVE
3005,,F483,20,4F,,,,,,BRA,LF4D4,GO MOVE THE DRAW POSITION
3006,,,,,,,,,* GO RIGHT,,,
3007,,F485,96,D3,,,,,LF485,LDA,VD3,NOW ACCD = VALUE OF THE SUBCOMMAND
3008,,F487,8E,00,00,,,,LF487,LDX,#0,X=0; VERT DIFFERENCE = 0
3009,,F48A,20,48,,,,,,BRA,LF4D4,GO MOVE THE DRAW POSITION
3010,,,,,,,,,* GO LEFT,,,
3011,,F48C,96,D3,,,,,LF48C,LDA,VD3,NOW ACCD = VALUE OF THE SUBCOMMAND
3012,,F48E,8D,3C,,,,,,BSR,NEGACCD,MAKE HORIZONTAL DIFFERENCE NEGATIVE
3013,,F490,20,F5,,,,,,BRA,LF487,MAKE VERTICAL DIFFERENCE ZERO AND MOVE THE DRAW POSITION
3014,,,,,,,,,* GO DOWN,,,
3015,,F492,96,D3,,,,,LF492,LDA,VD3,NOW ACCD = VALUE OF THE SUBCOMMAND
3016,,F494,20,04,,,,,,BRA,LF49A,"MAKE VER DIFF=0, EXCHANGE HOR & VER DIFFS AND MOVE DRAW POSITION"
3017,,,,,,,,,* GO UP,,,
3018,,F496,96,D3,,,,,LF496,LDA,VD3,NOW ACCD = VALUE OF THE SUBCOMMAND
3019,,F498,8D,32,,,,,,BSR,NEGACCD,MAKE HORIZONTAL DIFFERENCE NEGATIVE
3020,,F49A,8E,00,00,,,,LF49A,LDX,#0,X=0; HORIZONTAL DIFFERENCE = 0
3021,,F49D,1E,10,,,,,,EXG,"X,D",SWAP HOR AND VER DIFFERENCES
3022,,F49F,20,33,,,,,,BRA,LF4D4,GO MOVE THE DRAW POSITION
3023,,,,,,,,,* EXECUTE A COMMAND SUB STRING,,,
3024,,F4A1,BD,F6,11,,,,LF4A1,JSR,LF611,INTERPRET CURRENT COMMAND AS IF IT WERE A BASIC VARIABLE
3025,,F4A4,C6,02,,,,,,LDB,#$02,=
3026,,F4A6,BD,AC,33,,,,,JSR,LAC33,= SEE IF AT LEAST FOUR BYTES OF FREE RAM ARE LEFT
3027,,F4A9,D6,D8,,,,,,LDB,VD8,GET CURRENT COMMAND LENGTH
3028,,F4AB,9E,D9,,,,,,LDX,VD9,GET CURRENT COMMAND COUNTER
3029,,F4AD,34,14,,,,,,PSHS,"X,B",SAVE THEM ON THE STACK
3030,,F4AF,7E,F3,B8,,,,,JMP,LF3B8,EVALUATE NUMERICAL VALUE IN COMMAND LINE
3031,,,,,,,,,"* MULTIPLY HOR OR VER DIFFERENCE BY SCALE FACTOR, DIVIDE PRODUCT BY 4 AND RETURN VALUE IN ACCD",,,
3032,,F4B2,D6,E9,,,,,LF4B2,LDB,SCALE,GET DRAW SCALE
3033,,F4B4,27,1B,,,,,,BEQ,LF4D1,BRANCH IF ZERO (DEFAULT TO FULL SCALE)
