,,,,,,,,
DISPLAY CHARACTER SET,,,,,,,,
,,,,,,,,
HEX VALUE,,CHARACTER,HEX VALUE,,CHARACTER,HEX VALUE,,CHARACTER
Non-Inverted,Inverted,,Non-Inverted,Inverted,,Non-Inverted,Inverted,
00,40,@,18,58,X,30,40,0
01,41,A,19,59,Y,31,41,1
02,42,B,1A,5A,Z,32,42,2
03,43,C,1B,5B,[,33,43,3
04,44,D,1C,5C,\,34,44,4
05,45,E,1D,5D,],35,45,5
06,46,F,1E,5E,é,36,46,6
07,47,G,1F,5F,ç,37,47,7
08,48,H,20,60,,38,48,8
09,49,I,21,61,!,39,49,9
0A,4A,J,22,62,"""",3A,4A,:
0B,4B,K,23,63,#,3B,4B,;
0C,4C,L,24,64,$,3C,4C,<
0D,4D,M,25,65,%,3D,4D,=
0E,4E,N,26,66,&,3E,4E,>
0F,4F,O,27,67,',3F,4F,?
10,50,P,28,68,(,,,
11,51,Q,29,69,),,,
12,52,R,2A,6A,*,,,
13,53,S,2B,6B,+,,,
14,54,T,2C,6C,",",,,
15,55,U,2D,6D,-,,,
16,56,V,2E,6E,.,,,
17,57,W,2F,6F,/,,,
