,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,HI RESOLUTION CHARACTER SET,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
    Listed below is the character set available when in the high resolution text,,,,,,,,,,,,,,,,,,,,,,,
"modes (WIDTH 40,80). The character set is repeated for character values $80-$FF.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,00,Ç,,10,ó,,20,,,30,0,,40,@,,50,P,,60,^,,70,p
,01,ü,,11,æ,,21,!,,31,1,,41,A,,51,Q,,61,a,,71,q
,02,é,,12,Æ,,22,"""",,32,2,,42,B,,52,R,,62,b,,72,r
,03,â,,13,ô,,23,#,,33,3,,43,C,,53,S,,63,c,,73,s
,04,ä,,14,ö,,24,$,,34,4,,44,D,,54,T,,64,d,,74,t
,05,à,,15,ø,,25,%,,35,5,,45,E,,55,U,,65,e,,75,u
,06,å,,16,û,,26,&,,36,6,,46,F,,56,V,,66,f,,76,v
,07,ç,,17,ù,,27,',,37,7,,47,G,,57,W,,67,g,,77,w
,08,ê,,18,Ø,,28,(,,38,8,,48,H,,58,X,,68,h,,78,x
,09,ë,,19,Ö,,29,),,39,9,,49,I,,59,Y,,69,I,,79,y
,0A,è,,1A,Ü,,2A,*,,3A,:,,4A,J,,5A,Z,,6A,j,,7A,z
,0B,ï,,1B,§,,2B,+,,3B,;,,4B,K,,5B,[,,6B,k,,7B,{
,0C,î,,1C,£,,2C,",",,3C,<,,4C,L,,5C,\,,6C,l,,7C,|
,0D,ß,,1D,±,,2D,-,,3D,=,,4D,M,,5D,],,6D,m,,7D,}
,0E,Ä,,1E,°,,2E,.,,3D,>,,4E,N,,5E,é,,6E,n,,7E,~
,0F,Å,,1F,ƒ,,2F,/,,3F,?,,4F,O,,5F,ç,,6F,o,,7F,_
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,LOW RESOLUTION COCO COMPATIBLE CHARACTER SET,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
    Listed below is the character set available when in the CoCo compatible,,,,,,,,,,,,,,,,,,,,,,,
text mode (WIDTH 32). Graphics blocks are printed for character values $80-$FF.,,,,,,,,,,,,,,,,,,,,,,,
The character set given below assumes that bit 4 of $FF22 is set. If that bit,,,,,,,,,,,,,,,,,,,,,,,
"is clear, then the characters in the range of 0-$1F must be replaced by the",,,,,,,,,,,,,,,,,,,,,,,
corresponding characters in the range $40-$5F in inverse video.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,00,^,,10,p,,20,,,30,0,,40,@,,50,P,,60, ,,70,0
,01,a,,11,q,,21,!,,31,1,,41,A,,51,Q,,61,!,,71,1
,02,b,,12,r,,22,"""",,32,2,,42,B,,52,R,,62,"""",,72,2
,03,c,,13,s,,23,#,,33,3,,43,C,,53,S,,63,#,,73,3
,04,d,,14,t,,24,$,,34,4,,44,D,,54,T,,64,$,,74,4
,05,e,,15,u,,25,%,,35,5,,45,E,,55,U,,65,%,,75,5
,06,f,,16,v,,26,&,,36,6,,46,F,,56,V,,66,&,,76,6
,07,g,,17,w,,27,',,37,7,,47,G,,57,W,,67,',,77,7
,08,h,,18,x,,28,(,,38,8,,48,H,,58,X,,68,(,,78,8
,09,I,,19,y,,29,),,39,9,,49,I,,59,Y,,69,),,79,9
,0A,j,,1A,z,,2A,*,,3A,:,,4A,J,,5A,Z,,6A,*,,7A,:
,0B,k,,1B,{,,2B,+,,3B,;,,4B,K,,5B,[,,6B,+,,7B,;
,0C,l,,1C,|,,2C,",",,3C,<,,4C,L,,5C,\,,6C,",",,7C,<
,0D,m,,1D,},,2D,-,,3D,=,,4D,M,,5D,],,6D,-,,7D,=
,0E,n,,1E,~,,2E,.,,3D,>,,4E,N,,5E,é,,6E,.,,7E,>
,0F,o,,1F,_,,2F,/,,3F,?,,4F,O,,5F,ç,,6F,/,,7F,?
,,,,,,,,,,,,,,,,,,,,,,,
,,Note: The characters defined by $20-$3F are inverse video.,,,,,,,,,,,,,,,,,,,,,
