,,,,
,,,,
START,,END,,DESCRIPTION
,,,,
A000,,A00D,,INDIRECT JUMP TABLE
,,,,
A10D,,A128,,DIRECT PAGE ROM IMAGE
,,,,
A129,,A146,,PAGE ONE ROM IMAGE
,,,,
A147,,A170,,COPYRIGHT MESSAGES
,,,,
A26E,,A281,,SPECIAL KEY LOOKUP TABLE
,,,,
A85C,,A87F,,SINE WAVE LOOKUP TABLE
,,,,
AA29,,AA50,,SECONDARY DISPATCH TABLE
,,,,
AA51,,AA65,,OPERATOR PRECEDENCE TABLE
,,,,
AA66,,AB19,,PRIMARY RESERVED WORD TABLE
,,,,
AB1A,,AB66,,SECONDARY RESERVED WORD TABLE
,,,,
AB67,,ABAE,,PRIMARY DISPATCH TABLE
,,,,
ABAF,,ABE0,,ERROR MESSAGES
,,,,
ABE1,,ABEC,,"""ERROR IN"" MESSAGE"
,,,,
ABED,,ABF1,,"""OK"" MESSAGE"
,,,,
ABF2,,ABF8,,"""BREAK"" MESSAGE"
,,,,
AFCF,,AFD5,,"""?REDO"" MESSAGE"
,,,,
B0E8,,B0F7,,"""?EXTRA IGNORED"" MESSAGE"
,,,,
B3DF,,B3E3,,FLOATING POINT NUMBER -32768
,,,,
BAC5,,BAC9,,FLOATING POINT NUMBER 1.0
,,,,
BB7D,,BB81,,FLOATING POINT NUMBER 10
,,,,
BDB6,,BDBA,,FLOATING POINT NUMBER 99999999.9
,,,,
BDBB,,BDBF,,FLOATING POINT NUMBER 999999999
,,,,
BDC0,,BDC4,,FLOATING POINT NUMBER 1E+9
,,,,
BEC0,,BEC4,,FLOATING POINT NUMBER .5
,,,,
BEC5,,BEE8,,TABLE OF MANTISSAS OF UNNORMALIZED POWERS
,,,,OF TEN
,,,,
BF74,,BF77,,CONSTANT RANDOM NUMBER SEED
,,,,
BFBD,,BFC1,,FLOATING POINT NUMBER 2*PI
,,,,
BFC2,,BFC6,,FLOATING POINT NUMBER .25
,,,,
BFC7,,BFE5,,MODIFIED TAYLOR SERIES SINE COEFFICIENTS
,,,,
BFE6,,BFEF,,TWO GARBAGE FLOATING POINT NUMBERS
,,,,
BFF0,,BFFF,,INTERRUPT VECTORS
