,,,,,,
,,,,,,
1.1,,,1.0,,,
START,END,,START,END,,DESCRIPTION
,,,,,,
C000,C001,,C000,C001,,DISK BASIC ROM IDENTIFIER
,,,,,,
C004,C00B,,C004,C007,,INDIRECT JUMP TABLE
,,,,,,
C109,C112,,C0F6,C0FF,,COMMAND INTERPRETATION TABLE ROM IMAGE
,,,,,,
C113,C138,,C100,C125,,RAM HOOKS ROM IMAGE
,,,,,,
C139,C191,,C126,C17E,,COPYRIGHT MESSAGES
,,,,,,
C192,C1F0,,C17F,C1DA,,PRIMARY RESERVED WORD TABLE
,,,,,,
C1F1,C218,,C1DB,C200,,PRIMARY RESERVED WORD DISPATCH TABLE
,,,,,,
C219,C22B,,C201,C213,,SECONDARY RESERVED WORD TABLE
,,,,,,
C22C,C237,,C214,C21F,,SECONDARY RESERVED WORD DISPATCH TABLE
,,,,,,
C290,C2A5,,C278,C28D,,ERROR MESSAGES
,,,,,,
C2A6,C2B1,,C28E,C299,,DISK FILE EXTENSION MESSAGES
,,,,,,
D35F,D398,,D272,D2AB,,INSERT SOURCE/DESTINATION MESSAGES
,,,,,,
D6D4,D6EB,,D5E7,D5FE,,DISK FORMATTING DATA TABLE
,,,,,,
D895,D89C,,D7A2,D7A9,,DSKCON OPERATION CODE JUMP VECTORS
,,,,,,
D89D,D8A0,,D7AA,D7AD,,DSKREG MASKS FOR DRIVE SELECT
