,,,,
,,,,
START,,END,,DESCRIPTION
,,,,
8000,,8001,,EXTENDED BASIC ROM IDENTIFIER
,,,,
80DE,,80E7,,COMMAND INTERPRETATION TABLE ROM IMAGE
,,,,
80E8,,813B,,COPYRIGHT MESSAGES
,,,,
8183,,81E9,,PRIMARY RESERVED WORD TABLE
,,,,
81F0,,821D,,PRIMARY RESERVED WORD DISPATCH TABLE
,,,,
821E,,8256,,SECONDARY RESERVED WORD TABLE
,,,,
8257,,8272,,SECONDARY RESERVED WORD DISPATCH TABLE
,,,,
83AB,,83AF,,FLOATING POINT VALUE FOR PI/2
,,,,
83E0,,841C,,TAYLOR SERIES COEFFICIENTS FOR ARCTANGENT
,,,,
841D,,8431,,TAYLOR SERIES COEFFICIENTS FOR NATURAL LOG(X)
,,,,
8432,,8436,,FLOATING POINT VALUE FOR .5*SQR(2)
,,,,
8437,,843B,,FLOATING POINT VALUE FOR THE SQUARE ROOT OF 2
,,,,
843C,,8440,,FLOATING POINT VALUE FOR -.5
,,,,
8441,,8445,,FLOATING POINT VALUE FOR THE NATURAL LOG OF 2
,,,,
84C4,,84C8,,FLOATING POINT VALUE FOR CORRECTION FACTOR OF
,,,,EXPONENTIAL FUNCTION
,,,,
84C9,,84F1,,TAYLOR SERIES FOR E^X
,,,,
890B,,890E,,ERROR MESSAGES
,,,,
8BD9,,8BDC,,UL' (UNKNOWN LINE NUMBER) MESSAGE
,,,,
929C,,92A5,,JUMP TABLE FOR CALPOS ROUTINES
,,,,
92DD,,92E4,,2 COLOR MODE PIXEL MASKS
,,,,
92E5,,92E8,,4 COLOR MODE PIXEL MASKS
,,,,
948A,,9493,,JUMP TABLE OF ADDRESSES WHICH WILL MOVE POINTERS
,,,,ONE PIXEL TO THE RIGHT
,,,,
9706,,970F,,TABLE OF HOW MANY BYTES PER HORIZONTAL GRAPHIC
,,,,ROW AND HOW MUCH RAM IS USED FOR ONE HIRES SCREEN
,,,,
9839,,9851,,"LOOKUP TABLE FOR PSET, PRESET, AND, OR, AND NOT"
,,,,MODIFIERS FOR THE PUT COMMAND
,,,,
9C5B,,9C61,,NUMERICAL NOTE VALUES FOR LETTER NOTES
,,,,
9C62,,9C79,,TIMING DELAYS FOR OCTAVE 1
,,,,
9C7A,,9C91,,TIMING DELAYS FOR OCTAVE 2
,,,,
9C92,,9CB5,,"TIMING DELAYS FOR OCTAVES 3, 4 AND 5"
,,,,
9E79,,9E9C,,TABLE OF SINES AND COSINES FOR CIRCLE
