,,,,
,,,,
,Listed below are all of the data and ASCII tables found in the last half (C000-FDFF) of the ,,,
Super Extended Basic ROM.,,,,
,,,,
,,,,
START,,END,,DESCRIPTION
,,,,
C22E,,C235,,VIDEO CONTROL REGISTERS' IMAGE (INITIALIZATION)
C236,,C245,,PALETTE REGISTERS' IMAGE (INITIALIZATION)
C246,,C255,,MMU REGISTERS' IMAGE (INITIALIZATION)
C256,,C30C,,COLOR/EXTENDED BASIC PATCH TABLE
C30D,,C321,,CODED AUTHORS' NAMES
C351,,C358,,DISK BASIC PATCH TABLE
C359,,C36B,,INTERRUPT JUMP TABLE IMAGE
C405,,DC04,,DIGITIZED PICTURE OF THE AUTHORS
E000,,E018,,ROM ROUTINES' ADDRESS VECTORS
E032,,E04C,,VIDEO REGISTERS' TEXT MODE IMAGES
E06C,,E06F,,VIDEO RESOLUTION REGISTER ($FF99) VALUES
E070,,E081,,VIDEO REGISTERS' GRAPHICS MODE IMAGES
E0E1,,E0F0,,MMU IMAGES
E162,,E16B,,COMMAND INTERPRETATION TABLE
E1C5,,E235,,COMMANDS DICTIONARY
E236,,E263,,COMMANDS DISPATCH TABLE
E264,,E27D,,FUNCTIONS DICTIONARY
E27E,,E287,,FUNCTIONS DISPATCH TABLE
E2A3,,E2F7,,DISK BASIC 2.0 COPYRIGHT MESSAGE
E2F8,,E315,,'AND MICROWARE SYSTEMS CORP.' MESSAGE
E316,,E388,,DISK BASIC 2.1 COPYRIGHT MESSAGE
E4CC,,E4CF,,SUPER EXTENDED BASIC ERROR CODES
E654,,E663,,TABLE OF 'OFFICIAL' COMPOSITE COLORS
E664,,E673,,TABLE OF 'OFFICIAL' RGB COLORS
E678,,E687,,PALETTE REGISTERS' RAM IMAGE
E6CB,,E6CE,,TABLE OF HOW MANY BYTES PER HORIZONTAL ROW IN THE
,,,,HIGH RESOLUTION GRAPHICS MODES
E759,,E75C,,TABLE OF SINGLE PIXEL MASKS FOR THE HI-RES GRAPHICS MODES
E75D,,E760,,TABLE OF MULTIPLIERS TO SPREAD A SINGLE PIXEL MASK
,,,,THROUGH AN ENTIRE BYTE
E7F1,,E7FE,,"TABLE OF 1,2 AND 4 BIT SHIFTED PIXEL MASKS"
EA25,,EA2C,,TABLE OF PIXEL MOVE ADDRESSES
EB99,,EBBC,,TABLE OF SINES AND COSINES FOR THE HCIRCLE COMMAND
EEE0,,EEEE,,"LOOKUP TABLE FOR PSET, PRESET, AND, OR AND NOT ROUTINES"
,,,,FOR THE HPUT COMMAND
F002,,F00B,,TABLE OF ADDRESSES FOR THE HI-RES PRINT DRIVERS
F035,,F044,,TABLE OF ALL POSSIBLE 2 BIT PIXEL MASKS
F06C,,F08B,,TABLE OF ALL POSSIBLE DOUBLE BYTE 4 BIT PIXEL MASKS
F09D,,F39C,,HIGH RESOLUTION SOFTWARE CHARACTER GERNERATOR 'ROM'
F702,,F71A,,'MICROWARE SYSTEMS CORP.' MESSAGE
F71B,,F72F,,AUTHORS' NAMES - THIS AREA IS ALL ZEROS IN THE ROM. AFTER
,,,,INITIALIZATION THE AUTHORS' NAMES WILL BE FOUND HERE (IN RAM)
,,,,"UNTIL YOU EXECUTE A CLS 100 COMMAND, AFTER WHICH TIME YOU WILL"
,,,,FIND NOPs IN THIS AREA.
