,,,,,,,
,,,,,,,
,There are times when it is useful to cause an error message to be,,,,,,
printed to the screen in the same manner that BASIC prints its error,,,,,,,
messages. The following table is provided to give the user the DISK,,,,,,,
BASIC entry points which will cause error messages to be printed to,,,,,,,
the screen. A JMP to one of these error message routines will cause,,,,,,,
the two letter short form error message to be printed on the screen,,,,,,,
and a pseudo—warm start into BASIC will be taken. The pseudo—warm,,,,,,,
"start will reset the stack, the string stack and the continue pointer",,,,,,,
and jump to BASIC’s direct mode (OK).,,,,,,,
,,,,,,,
,,,,DISK BASIC ERROR JUMPS,,,
,,,,,,,
,,,1.1,1.0,1.1,1.0,
,NAME,NBR,LABEL,LABEL,ADDR,ADDR,DESCRIPTION
,IO,20.0,LD709,LD616,D709,D616,INPUT/OUTPUT
,IE,23.0,LC352,LC334,C352,C334,INPUT PAST END OF FILE
,NE,26.0,LC6E5,LC6B8,C6E5,C6B8,FILE NOT FOUND
,BR,27.0,LC30B,LC2ED,C30B,C2ED,BAD RECORD
,DF,28.0,LC7F8,LC7C8,C7F8,C7C8,DISK FULL
,OB,29.0,LC504,LC4DE,C504,C4DE,OUT OF BUFFER SPACE
,FN,31.0,LC978,LC8CA,C978,C8CA,BAD FILE NAME
,FS,32.0,LC653,LC626,C653,C626,BAD FILE STRUCTURE
,FO,34.0,LD0DA,LCFFE,D0DA,CFFE,FIELD OVERFLOW
,SE,35.0,LD119,LD03D,D119,D03D,SET TO NON-FIELDED STRING
,VF,36.0,LD74A,LD657,D74A,D657,VERIFICATION ERROR
,ER,37.0,LCDCB,LCFF1,CDCB,CFF1,WRITE OR INPUT PAST END OF RECORD
,,,,,,,
,,,,,,,
,There are no unconditional jump entry points for error #30 (WP -,,,,,,
Write Proctected) or error #33 (AE - file Already Exists). These,,,,,,,
errors may be generated by loading a value equal to 2*(error number),,,,,,,
into ACCB and then JMPing to AC46.,,,,,,,
