,,,,,,,
,,,,,,,
,There are times when it is useful to cause an error message to be,,,,,,
printed to the screen in the same manner that BASIC prints its error,,,,,,,
messages. The following table is provided to give the user the DISK,,,,,,,
BASIC entry points which will cause error messages to be printed to,,,,,,,
the screen. A JMP to one of these error message routines will cause,,,,,,,
the two letter short form error message to be printed on the screen,,,,,,,
and a pseudo—warm start into BASIC will be taken. The pseudo—warm,,,,,,,
"start will reset the stack, the string stack and the continue pointer",,,,,,,
and jump to BASIC’s direct mode (OK).,,,,,,,
,,,,,,,
,,,,BASIC/EXTENDED ERROR JUMPS,,,
,,,,,,,
,,NAME,NBR,LABEL,ADDR,,DESCRIPTION
,,NF,00,LB108,B108,,NEXT WITHOUT FOR
,,SN,01,LB277,B277,,SYNTAX ERROR
,,RG,02,LAECF,AECF,,RETURN WITHOUT GOSUB
,,OD,03,LB0C3,B0C3,COND,OUT OF DATA
,,FC,04,LB44A,B44A,,ILLEGAL FUNCTION CALL
,,OV,05,LBA92,BA92,,OVERFLOW
,,OM,06,LAC44,AC44,,OUT OF MEMORY
,,UL,07,LAED2,AED2,,UNDEFINED LINE NUMBER
,,BS,08,LB447,B447,,BAD SUBSCRIPT
,,DD,09,LB43B,B43B,COND,REDIMENSIONED ARRAY
,,/0,10,LBC06,BC06,,DIVISION BY ZERO
,,ID,11,INPUT,AFF5,COND,ILLEGAL DIRECT STATEMENT
,,TM,12,LB151,B151,,TYPE MISMATCH
,,OS,13,LB585,B585,COND,OUT OF STRING SPACE
,,LS,14,LB625,B625,,STRING TOO LONG
,,ST,15,LB553,B553,,STRING FORMULA TOO COMPLEX
,,CN,16,LAE32,AE32,COND,CAN'T CONTINUE
,,FD,17,LAFD6,AFD6,COND,BAD FILE DATA
,,AO,18,LA61C,A61C,,FILE ALREADY OPEN
,,DN,19,LA61F,A61F,,DEVICE NUMBER ERROR
,,IO,20,LA619,A619,,INPUT/OUTPUT ERROR
,,FM,21,LA616,A616,,BAD FILE MODE
,,NO,22,LA3FB,A3FB,,FILE NOT OPEN
,,IE,23,LB03F,B03F,COND,INPUT PAST END OF FILE
,,DS,24,LAC94,AC94,COND,DIRECT STATEMENT IN FILE
,,UF,25,L88BF,88BF,COND,UNDEFINED FUNCTION CALL
,,NE,26,L8CDD,8CDD,,FILE NOT FOUND
,,,,,,,
,The addresses given for the entry points are valid for COLOR,,,,,,
"BASIC Versions 1.0, 1.1, 1.2 and Extended BASIC Versions 1.0, 1.1, and 2.0.",,,,,,,
"If the address is followed by a COND, the corresponding entry point is not",,,,,,,
"unconditional, meaning that ACCB will be loaded with the error but some",,,,,,,
sort of test will be imposed before program control will be passed to the,,,,,,,
"error handler.  As required, these conditional errors may be generated by",,,,,,,
loading a value equal to 2*(error number) into ACCB and then JMPing to,,,,,,,
$AC46.,,,,,,,
