,,
ADDRESS,,DESCRIPTION
,,
B9B4,,ADD .5 TO FPA0
,,
B9B9,,SUBTRACT FPA0 FROM FLOATING POINT NUMBER POINTED
,,"TO BY X, LEAVE RESULT IN FPA0"
,,
B9BC,,ARITHMETIC OPERATION (-) JUMPS HERE - SUBTRACT FPA0
,,FROM FPA1 (ENTER WITH EXPONENT OF FPA0 IN ACCB)
,,
B9C2,,ADD FLOATING POINT NUMBER POINTED TO BY X TO FPA0 -
,,LEAVE RESULTS IN FPA0
,,
B9C5,,ARITHMETIC OPERATION (+) JUMPS HERE - ADD FPA0 TO
,,FPA1 (ENTER WITH EXPONENT OF FPA0 IN ACCB AND
,,EXPONENT OF FPA1 IN ACCA)
,,
BA1C,,NORMALIZE FPA0
,,
BA79,,NEGATE FPA0 MANTISSA
,,
BA83,,ADD ONE TO FPA0 MANTISSA
,,
BACA,,ARITHMETIC OPERATION (*) JUMPS HERE - MULTIPLY FPA0
,,BY X - RETURN PRODUCT IN FPA0
,,
BAD0,,"MULTIPLY FPA0 MANTISSA BY FPA1, NORMALIZE HIGH"
,,ORDER BYTES OF PRODUCT IN FPA0. THE LOW ORDER FOUR
,,BYTES OF THE PRODUCT WILL BE STORED IN VAB-VAE
,,
BB2F,,UNPACK A FLOATING POINT NUMBER FROM X INTO FPA1
,,
BB6A,,FAST MULTIPLY FPA0 BY 10 AND LEAVE RESULT IN FPA0
,,
BB82,,DIVIDE FPA0 BY 10
,,
BB8F,,DIVIDE X BY FPA0 - LEAVE NORMALIZED QUOTIENT IN FPA0
,,
BB91,,DIVIDE FPA1 BY FPA0. ENTER WITH EXPONENT OF FPA1 IN
,,ACCA AND FLAGS SET BY TSTA
,,
BBA4,,COMPARE FPA0 MANTISSA TO FPA1 MANTISSA - SET CARRY
,,FLAG IF FPA1 >= FPA0
,,
BC0B,,COPY MANTISSA FROM FPA2 TO FPA0
,,
BC14,,COPY A PACKED FLOATING POINT NUMBER FROM X TO FPA0
,,
BC2A,,PACK FPA0 AND SAVE IT IN FPA4
,,
BC2F,,PACK FPA0 AND SAVE IT IN FPA3
,,
BC33,,PACK FPA0 AND SAVE IT IN ADDRESS STORED IN VARDES
,,
BC35,,PACK FPA0 AND SAVE IT IN ADDRESS POINTED TO BY X
,,
BC4A,,MOVE FPA1 TO FPA0 RETURN WITH MANTISSA SIGN IN ACCA
,,
BC5F,,TRANSFER FPA0 TO FPA1
,,
BC6D,,"CHECK FPA0; RETURN ACCB = 0 IF FPA0 = 0, ACCB = $FF IF"
,,"FPA0 = NEGATIVE, ACCB = 1 IF FPA0 = POSITIVE"
,,
BC7C,,CONVERT A SIGNED NUMBER IN ACCB INTO A FLOTING
,,POINT NUMBER
,,
BC96,,COMPARE A PACKED FLOATING POINT NUMBER POINTED TO
,,BY X TO AN UNPACKED FLOATING POINT NUMBER IN FPA0.
,,RETURN ZERO FLAG SET AND ACCB=0 IF EQUAL; ACCB = 1
,,IF FPA0 > (X); ACCB = $FF IF FPA0 < (X)
,,
BD09,,FILL MANTISSA OF FPA0 WITH CONTENTS OF ACCB
