0001,,8000,EXBAS,EQU,$8000,,,,,
0002,,A000,BASIC,EQU,$A000,,,,,
0003,,C000,ROMPAK,EQU,$C000,,,,,
0004,,,,,,,,,,
0005,,0008,BS,EQU,8.0,BACKSPACE,,,,
0006,,000D,CR,EQU,$D,ENTER KEY,,,,
0007,,001B,ESC,EQU,$1B,ESCAPE CODE,,,,
0008,,000A,LF,EQU,$A,LINE FEED,,,,
0009,,000C,FORMF,EQU,$C,FORM FEED,,,,
0010,,0020,SPACE,EQU,$20,SPACE (BLANK),,,,
0011,,,,,,,,,,
0012,,003A,STKBUF,EQU,58,STACK BUFFER ROOM,,,,
0013,,045E,DEBDEL,EQU,$45E,DEBOUNCE DELAY,,,,
0014,,00FA,LBUFMX,EQU,250,MAX NUMBER OF CHARS IN A BASIC LINE,,,,
0015,,00FA,MAXLIN,EQU,$FA,MAXIMUM MS BYTE OF LINE NUMBER,,,,
0016,,,,,,,,,,
0017,,2600,DOSBUF,EQU,$2600,RAM LOAD LOCATION FOR THE DOS COMMAND,,,,
0018,,0020,DIRLEN,EQU,32,NUMBER OF BYTES IN DIRECTORY ENTRY,,,,
0019,,0100,SECLEN,EQU,256.0,LENGTH OF SECTOR IN BYTES,,,,
0020,,0012,SECMAX,EQU,18.0,MAXIMUM NUMBER OF SECTORS PER TRACK,,,,
0021,,1200,TRKLEN,EQU,SECMAX*SECLEN,LENGTH OF TRACK IN BYTES,,,,
0022,,0023,TRKMAX,EQU,35.0,MAX NUMBER OF TRACKS,,,,
0023,,004A,FATLEN,EQU,6+(TRKMAX-1)*2,FILE ALLOCATION TABLE LENGTH,,,,
0024,,0044,GRANMX,EQU,(TRKMAX-1)*2 ,MAXIMUM NUMBER OF GRANULES,,,,
0025,,0119,FCBLEN,EQU,SECLEN+25,FILE CONTROL BLOCK LENGTH,,,,
0026,,0010,INPFIL,EQU,$10,INPUT FILE TYPE,,,,
0027,,0020,OUTFIL,EQU,$20,OUTPUT FILE TYPE,,,,
0028,,0040,RANFIL,EQU,$40,RANDOM/DIRECT FILE TYPE,,,,
0029,,,,,,,,,,
0030,,,* PSEUDO PSEUDO OPS,,,,,,,
0031,,0021,SKP1,EQU,$21,OP CODE OF BRN — SKIP ONE BYTE,,,,
0032,,008C,SKP2,EQU,$8C,OP CODE OF CMPX # - SKIP TWO BYTES,,,,
0033,,0086,SKP1LD,EQU,$86,OP CODE OF LDA # - SKIP THE NEXT BYTE,,,,
0034,,,*,,,AND LOAD THE VALUE OF THAT BYTE INTO ACCA — THIS,,,,
0035,,,*,,,IS USUALLY USED TO LOAD ACCA WITH A NON ZERO VALUE,,,,
0036,,,,,,,,,,
0037,,,* REGISTER ADDRESSES,,,,,,,
0038,,FF00,PIA0,EQU,$FF00,PERIPHERAL INPUT ADAPTER #0,,,,
0039,,FF20,PIA1,EQU,$FF20,PERIPHERAL INPUT ADAPTER #1,,,,
0040,,FF20,DA,EQU,PIA1+0,DIGITAL/ANALOG CONVERTER,,,,
0041,,FF40,DSKREG,EQU,$FF40,DISK CONTROL REGISTER,,,,
0042,,FF48,FDCREG,EQU,$FF48,1793 CONTROL REGISTER,,,,
0043,,FFC0,SAMREG,EQU,$FFC0,SAM CONTROL REGISTER,,,,
0044,,,,,,,,,,
0045,0000,,,ORG,0.0,,,,,
0046,,0000,,SETDP,0.0,,,,,
0047,,,,,,,,,,
0048,0000,,ENDFLG,RMB,1.0,"STOP/END FLAG: POSITIVE=STOP, NEG=END",,,,
0049,0001,,CHARAC,RMB,1.0,TERMINATOR FLAG 1,,,,
0050,0002,,ENDCUR,RMB,1.0,TERMINATOR FLAG 2,,,,
