ALLCOL,00B5,,DCTRK,00EC,,DXCVEC,CE2E,,L8748,8748.0,,LASTPT,000D
ANGLE,00E8,,DEBVAL,011B,,DXIVEC,CE56,,L880E,880E,,LB00C,B00C
ARYDIS,0008,,DEFDRV,095A,,ENDCHR,0002,,L8955,8955.0,,LB01E,B01E
ARYEND,001F,,DEFEXT,C291,,ENDFLG,0000,,L8C1B,8C1B,,LB069,B069
ARYTAB,001D,,DEVCFW,006A,,ENDGRP,00B7,,L95AC,95AC,,LB143,B143
ATTCTR,0988,,DEVLCF,006B,,EVALEXPB,B70B,,L962E,962E,,LB146,B146
BACKUP,D175,,DEVNUM,006F,,EXECJP,009D,,L9650,9650.0,,LB148,B148
BAKCOL,00B3,,DEVPOS,006C,,EXPJMP,011D,,L96CB,96CB,,LB156,B156
BASEXT,C28E,,DEVWID,006D,,FATBL0,0800,,L96EC,96EC,,LB166,B166
BAWMST,A0E8,,DEXTBF,0954,,FATBL1,084A,,L975F,975F,,LB244,B244
BEGGRP,00BA,,DFFLEN,097C,,FATBL2,0894,,L9FB5,9FB5,,LB262,B262
BINEXT,C297,,DFLBUF,0989,,FATBL3,08DE,,LA0E2,A0E2,,LB26F,B26F
BINVAL,002B,,DFLTYP,0957,,FCBACT,095B,,LA171,A171,,LB277,B277
BLKCNT,0094,,DIMFLG,0005,,FCBADR,094A,,LA176,A176,,LB2CE,B2CE
BLKLEN,007D,,DIR,CBCF,,FCBTMP,00F1,,LA282,A282,,LB357,B357
BLKTYP,007C,,DIRQSV,D7BC,,FCBV1,0928,,LA35F,A35F,,LB3E6,B3E6
BOTSTK,0017,,DKWMST,C0D4,,FDCREG,FF48,,LA37C,A37C,,LB44A,B44A
BROMHK,AA1A,,DLBAUD,00E6,,FIELD,CFE0,,LA3ED,A3ED,,LB4F3,B4F3
CASBUF,01DA,,DLODFL,095D,,FILES,D080,,LA3FB,A3FB,,LB50F,B50F
CASFLG,011A,,DMRGFL,095E,,FILSTA,0078,,LA406,A406,,LB516,B516
CBTPHA,0084,,DNAMBF,094C,,FIRQ,FFF6,,LA426,A426,,LB654,B654
CBUFAD,007E,,DNMISV,D7AE,,FORCOL,00B2,,LA429,A429,,LB657,B657
CCKSUM,0080,,DNMIVC,0983,,FP0EXP,004F,,LA42D,A42D,,LB659,B659
CFNBUF,01D1,,DOSBAS,C000,,FP0SGN,0054,,LA549,A549,,LB69B,B69B
CHARAC,0001,,DOSBUF,2600,,FP1EXP,005C,,LA59A,A59A,,LB6A4,B6A4
CHARAD,00A6,,DOTVAL,00E5,,FP1SGN,0061,,LA5A2,A5A2,,LB70E,B70E
CHGFLG,00DB,,DR0TRK,097E,,FPA0,0050,,LA5A5,A5A5,,LB738,B738
