ALLCOL,00B5,,DCTRK,00EC,,DVEC20,C8B0,,IRQ,FFF8,,LAD33,AD33
ANGLE,00E8,,DEBVAL,011B,,DVEC22,C2B2,,IRQVEC,010C,,LAD9E,AD9E
ARYDIS,0008,,DEFDRV,095A,,DVEC3,CC1C,,KEYBUF,0152,,LADC6,ADC6
ARYEND,001F,,DEFEXT,C2A9,,DVEC4,C5BC,,KILL,C6EF,,LADD4,ADD4
ARYTAB,001D,,DEVCFW,006A,,DVEC5,C848,,L813C,813C,,LADEB,ADEB
ATTCTR,0988,,DEVLCF,006B,,DVEC6,C84B,,L8168,8168.0,,LAE15,AE15
BACKUP,D262,,DEVNUM,006F,,DXCVEC,CF0A,,L8311,8311.0,,LAF9A,AF9A
BAKCOL,00B3,,DEVPOS,006C,,DXIVEC,CF32,,L8316,8316.0,,LAFA4,AFA4
BASEXT,C2A6,,DEVWID,006D,,ENDCHR,0002,,L836C,836C,,LAFB1,AFB1
BAWMST,A0E8,,DEXTBF,0954,,ENDFLG,0000,,L8C1B,8C1B,,LASTPT,000D
BEGGRP,00BA,,DFFLEN,097C,,ENDGRP,00B7,,L95AC,95AC,,LB00C,B00C
BINEXT,C2AF,,DFLBUF,0989,,EVALEXPB,B70B,,L962E,962E,,LB01E,B01E
BINVAL,002B,,DFLTYP,0957,,EXECJP,009D,,L9650,9650.0,,LB148,B148
BLKCNT,0094,,DIMFLG,0005,,EXPJMP,011D,,L96CB,96CB,,LB156,B156
BLKLEN,007D,,DIR,CCA9,,FATBL0,0800,,L96EC,96EC,,LB166,B166
BLKTYP,007C,,DIRQSV,D8AF,,FATBL1,084A,,L975F,975F,,LB244,B244
BOTSTK,0017,,DKWMST,C0E7,,FATBL2,0894,,L9FB5,9FB5,,LB262,B262
BROMHK,AA1A,,DLBAUD,00E6,,FATBL3,08DE,,LA0E2,A0E2,,LB26F,B26F
CASBUF,01DA,,DLODFL,095D,,FCBACT,095B,,LA171,A171,,LB277,B277
CASFLG,011A,,DMRGFL,095E,,FCBADR,094A,,LA176,A176,,LB2CE,B2CE
CBTPHA,0084,,DNAMBF,094C,,FCBTMP,00F1,,LA282,A282,,LB357,B357
CBUFAD,007E,,DNMISV,D8A1,,FCBV1,0928,,LA35F,A35F,,LB3E6,B3E6
CCKSUM,0080,,DNMIVC,0983,,FDCREG,FF48,,LA37C,A37C,,LB44A,B44A
CFNBUF,01D1,,DOS,D6EC,,FIELD,D0BC,,LA3ED,A3ED,,LB4F3,B4F3
CHARAC,0001,,DOSBAS,C000,,FILES,D15C,,LA3FB,A3FB,,LB50F,B50F
CHARAD,00A6,,DOSBUF,2600,,FILSTA,0078,,LA406,A406,,LB516,B516
CHGFLG,00DB,,DOSCOM,DF00,,FIRQ,FFF6,,LA426,A426,,LB654,B654
CINBFL,0070,,DOSINI,DF4C,,FORCOL,00B2,,LA429,A429,,LB657,B657
CINCTR,0079,,DOSVEC,C00A,,FP0EXP,004F,,LA42D,A42D,,LB659,B659
CINPTR,007A,,DOTVAL,00E5,,FP0SGN,0054,,LA549,A549,,LB69B,B69B
CLSTSN,0085,,DR0TRK,097E,,FP1EXP,005C,,LA59A,A59A,,LB6A4,B6A4
CMP0,0090,,DRESFL,095C,,FP1SGN,0061,,LA5A2,A5A2,,LB70E,B70E
CMP1,0091,,DRGRAM,0986,,FPA0,0050,,LA5A5,A5A5,,LB738,B738
CMPMID,008F,,DRIVE,CEC5,,FPA1,005D,,LA5AE,A5AE,,LB73D,B73D
COEFCT,0055,,DRUNFL,0959,,FPA2,0013,,LA5C7,A5C7,,LB958,B958
COEFPT,0064,,DSEC,00ED,,FPCARY,005B,,LA5DA,A5DA,,LB95C,B95C
COMVEC,0120,,DSINIT,C008,,FPSBYT,0063,,LA5E4,A5E4,,LB99F,B99F
COPY,D3B9,,DSKCON,D75F,,FREE,CE9C,,LA603,A603,,LB9A2,B9A2
CPERTM,0083,,DSKI,D4ED,,FRESPC,0025,,LA616,A616,,LB9AC,B9AC
CPULWD,0082,,DSKINI,D599,,FRETOP,0021,,LA61C,A61C,,LB9AF,B9AF
CSRERR,0081,,DSKO,D562,,FRQVEC,010F,,LA61F,A61F,,LB9C5,B9C5
CSSVAL,00C1,,DSKREG,FF40,,GARBFL,0007,,LA7D1,A7D1,,LBB91,BB91
CURLIN,0068,,DSKVAR,C006,,GETCCH,00A5,,LA7E9,A7E9,,LBC14,BC14
CURPOS,0088,,DUSRVC,095F,,GETNCH,009F,,LA928,A928,,LBC33,BC33
CVN,CDF4,,DVEC0,C44B,,GIVABF,B4F4,,LA951,A951,,LBC35,BC35
DA,FF20,,DVEC1,C888,,GRBLOK,0086,,LA974,A974,,LBC5F,BC5F
DASCFL,0958,,DVEC10,CD35,,GRPRAM,00BC,,LAC37,AC37,,LBDCC,BDCC
DATEXT,C2AC,,DVEC11,C8A9,,HORBEG,00BD,,LAC44,AC44,,LBDD9,BDD9
DATPTR,0033,,DVEC12,C6E4,,HORBYT,00B9,,LAC46,AC46,,LC002,C002
DATTMP,0035,,DVEC13,CAE4,,HORDEF,00C7,,LAC60,AC60,,LC00C,C00C
DATTXT,0031,,DVEC14,C90C,,HOREND,00C3,,LAC73,AC73,,LC00F,C00F
DBUF0,0600,,DVEC15,CED2,,IFCTR,0004,,LAC7C,AC7C,,LC03B,C03B
DBUF1,0700,,DVEC17,C265,,IKEYIM,0087,,LACEF,ACEF,,LC061,C061
DCBPT,00EE,,DVEC18,CA3E,,INPFLG,0009,,LAD19,AD19,,LC0BD,C0BD
DCDRV,00EB,,DVEC2,C893,,INT,BCEE,,LAD21,AD21,,LC0C2,C0C2
