ALLCOL,00B5,,GRPRAM,00BC,,L81EB,81EB,,L8316,8316,,L857D,857D
ANGLE,00E8,,HEXDOL,8BDD,,L81F0,81F0,,L831A,831A,,L8581,8581
ARYDIS,0008,,HORBEG,00BD,,L81F2,81F2,,L834D,834D,,L858A,858A
ARYEND,001F,,HORBYT,00B9,,L81F4,81F4,,L835E,835E,,L858C,858C
ARYTAB,001D,,HORDEF,00C7,,L81F6,81F6,,L8367,8367,,L8592,8592
ATN,83B0,,HOREND,00C3,,L81F8,81F8,,L836C,836C,,L859D,859D
BAKCOL,00B3,,INSTR,877E,,L81FA,81FA,,L837E,837E,,L85AB,85AB
BASIC,A000,,INT,BCEE,,L81FC,81FC,,L83A3,83A3,,L85AF,85AF
BAWMST,A0E8,,IRQVEC,010C,,L81FE,81FE,,L83A6,83A6,,L85B3,85B3
BEGGRP,00BA,,L8002,8002,,L8200,8200,,L83AB,83AB,,L85B4,85B4
BINVAL,002B,,L8031,8031.0,,L8202,8202,,L83B8,83B8,,L85B6,85B6
BLKLEN,007D,,L80D0,80D0,,L8204,8204,,L83C5,83C5,,L85C2,85C2
BLKTYP,007C,,L80DD,80DD,,L8206,8206,,L83D7,83D7,,L85C3,85C3
CASBUF,01DA,,L80DE,80DE,,L8208,8208,,L83DC,83DC,,L85C7,85C7
CBUFAD,007E,,L80DF,80DF,,L820A,820A,,L83DF,83DF,,L85D1,85D1
CFNBUF,01D1,,L80E1,80E1,,L820C,820C,,L83E0,83E0,,L85D5,85D5
CHARAC,0001,,L80E3,80E3,,L820E,820E,,L83E1,83E1,,L85DE,85DE
CHARAD,00A6,,L80E4,80E4,,L8210,8210,,L83E6,83E6,,L85F3,85F3
CHGFLG,00DB,,L80E6,80E6,,L8212,8212,,L83EB,83EB,,L85F5,85F5
CINBFL,0070,,L80E8,80E8,,L8214,8214,,L83F0,83F0,,L860F,860F
CINCTR,0079,,L80FF,80FF,,L8216,8216,,L83F5,83F5,,L8613,8613
CINPTR,007A,,L8100,8100,,L8218,8218,,L83FA,83FA,,L861E,861E
CIRCLE,9E9D,,L8101,8101,,L821A,821A,,L83FF,83FF,,L8625,8625
COLOR,9542,,L8112,8112,,L821C,821C,,L8404,8404,,L8626,8626
COMVEC,0120,,L8113,8113,,L821E,821E,,L8409,8409,,L862E,862E
COS,8378,,L811C,811C,,L8221,8221,,L840E,840E,,L8630,8630
CSSVAL,00C1,,L811D,811D,,L8224,8224,,L8413,8413,,L8634,8634
CURLIN,0068,,L8139,8139,,L8227,8227,,L8418,8418,,L8646,8646
DEF,8871,,L813C,813C,,L822A,822A,,L841D,841D,,L864A,864A
DEL,8970,,L8148,8148,,L822D,822D,,L841E,841E,,L8650,8650
DEVNUM,006F,,L8154,8154,,L8230,8230,,L8423,8423,,L8659,8659
DEVPOS,006C,,L8165,8165,,L8233,8233,,L8428,8428,,L865C,865C
DLBAUD,00E6,,L8168,8168,,L8236,8236,,L842D,842D,,L8665,8665
DLOAD,8C18,,L8170,8170,,L823A,823A,,L8432,8432,,L866B,866B
DOSBAS,C000,,L817D,817D,,L8240,8240,,L8437,8437,,L8679,8679
DOTVAL,00E5,,L8183,8183,,L8245,8245,,L843C,843C,,L867C,867C
DRAW,9CB6,,L8186,8186,,L824A,824A,,L8441,8441,,L8685,8685
EDIT,8533,,L818A,818A,,L8250,8250,,L8489,8489,,L8687,8687
ENDFLG,0000,,L818E,818E,,L8257,8257,,L8491,8491,,L8694,8694
ENDGRP,00B7,,L8193,8193,,L8259,8259,,L84AC,84AC,,L86A6,86A6
ESC,001B,,L8196,8196,,L825B,825B,,L84C4,84C4,,L86D6,86D6
EVALEXPB,B70B,,L8199,8199,,L825D,825D,,L84C9,84C9,,L86EB,86EB
EXBAS,8000,,L819D,819D,,L825F,825F,,L84CA,84CA,,L86FD,86FD
EXECJP,009D,,L81A1,81A1,,L8261,8261,,L84CF,84CF,,L870E,870E
EXP,84F2,,L81A5,81A5,,L8263,8263,,L84D4,84D4,,L8724,8724
EXPJMP,011D,,L81AB,81AB,,L8265,8265,,L84D9,84D9,,L8727,8727
FILSTA,0078,,L81B1,81B1,,L8267,8267,,L84DE,84DE,,L872E,872E
FIX,8524,,L81B7,81B7,,L8269,8269,,L84E3,84E3,,L873F,873F
FORCOL,00B2,,L81BC,81BC,,L826B,826B,,L84E8,84E8,,L8746,8746
FP0EXP,004F,,L81C2,81C2,,L826D,826D,,L84ED,84ED,,L8748,8748
FP0SGN,0054,,L81C7,81C7,,L826F,826F,,L8501,8501,,L8768,8768
FP1SGN,0061,,L81CA,81CA,,L8271,8271,,L8504,8504,,L876B,876B
FPA0,0050,,L81CD,81CD,,L8285,8285,,L8529,8529,,L8776,8776
FPSBYT,0063,,L81D1,81D1,,L82BB,82BB,,L852C,852C,,L877B,877B
FRETOP,0021,,L81D6,81D6,,L82CF,82CF,,L8538,8538,,L879C,879C
GET,9755,,L81DB,81DB,,L82D8,82D8,,L854D,854D,,L87BE,87BE
GETCCH,00A5,,L81DF,81DF,,L82F1,82F1,,L855C,855C,,L87CD,87CD
GETNCH,009F,,L81E4,81E4,,L8310,8310,,L855D,855D,,L87D6,87D6
GIVABF,B4F4,,L81E9,81E9,,L8311,8311,,L8570,8570,,L87D8,87D8
L87D9,87D9,,L8A9B,8A9B,,L8D1D,8D1D,,L8FC4,8FC4,,L9249,9249
L87DF,87DF,,L8AAC,8AAC,,L8D26,8D26,,L8FC6,8FC6,,L924D,924D
L87EB,87EB,,L8AB2,8AB2,,L8D48,8D48,,L8FD8,8FD8,,L9256,9256
L8800,8800,,L8AB9,8AB9,,L8D58,8D58,,L8FE3,8FE3,,L9262,9262
L880A,880A,,L8AC0,8AC0,,L8D60,8D60,,L8FE5,8FE5,,L9263,9263
L880C,880C,,L8AC7,8AC7,,L8D62,8D62,,L8FF2,8FF2,,L926A,926A
L880E,880E,,L8AD3,8AD3,,L8D6A,8D6A,,L8FFA,8FFA,,L927A,927A
L881F,881F,,L8ADD,8ADD,,L8D6B,8D6B,,L9011,9011,,L927B,927B
L882E,882E,,L8AE1,8AE1,,L8D72,8D72,,L9015,9015,,L9281,9281
L8834,8834,,L8AE5,8AE5,,L8D7C,8D7C,,L9023,9023,,L928E,928E
L8845,8845,,L8AE9,8AE9,,L8D89,8D89,,L902C,902C,,L928F,928F
L8862,8862,,L8AEB,8AEB,,L8D8B,8D8B,,L9050,9050,,L9298,9298
L8866,8866,,L8AED,8AED,,L8DA7,8DA7,,L9054,9054,,L929C,929C
L886E,886E,,L8AEF,8AEF,,L8DB8,8DB8,,L9060,9060,,L929E,929E
L88A1,88A1,,L8B13,8B13,,L8DBC,8DBC,,L9065,9065,,L92A0,92A0
L88B1,88B1,,L8B17,8B17,,L8DC5,8DC5,,L907C,907C,,L92A2,92A2
L88B4,88B4,,L8B1B,8B1B,,L8DC9,8DC9,,L9096,9096,,L92A4,92A4
L88D9,88D9,,L8B24,8B24,,L8DD4,8DD4,,L909E,909E,,L92A6,92A6
L88EF,88EF,,L8B41,8B41,,L8DDE,8DDE,,L90A9,90A9,,L92C2,92C2
L890B,890B,,L8B55,8B55,,L8DE6,8DE6,,L90AA,90AA,,L92DD,92DD
L890D,890D,,L8B67,8B67,,L8DF6,8DF6,,L90B2,90B2,,L92E5,92E5
L890F,890F,,L8B71,8B71,,L8DF7,8DF7,,L90B3,90B3,,L92E9,92E9
L891C,891C,,L8B7B,8B7B,,L8DF9,8DF9,,L90B8,90B8,,L92ED,92ED
L8927,8927,,L8B7F,8B7F,,L8DFD,8DFD,,L90BD,90BD,,L92F3,92F3
L892C,892C,,L8B8A,8B8A,,L8E04,8E04,,L90BF,90BF,,L92F4,92F4
L8943,8943,,L8B8C,8B8C,,L8E0C,8E0C,,L90CB,90CB,,L92FC,92FC
L8944,8944,,L8BAE,8BAE,,L8E1D,8E1D,,L90E2,90E2,,L9303,9303
L8952,8952,,L8BBE,8BBE,,L8E25,8E25,,L90EA,90EA,,L9309,9309
L8955,8955,,L8BC9,8BC9,,L8E37,8E37,,L90EE,90EE,,L9317,9317
L8960,8960,,L8BD9,8BD9,,L8E3B,8E3B,,L90FF,90FF,,L931A,931A
L898C,898C,,L8BE5,8BE5,,L8E5F,8E5F,,L9108,9108,,L931D,931D
L8990,8990,,L8BEA,8BEA,,L8E69,8E69,,L910D,910D,,L9320,9320
L8992,8992,,L8BFF,8BFF,,L8E71,8E71,,L9116,9116,,L932C,932C
L8993,8993,,L8C07,8C07,,L8E82,8E82,,L911B,911B,,L9338,9338
L899F,899F,,L8C0B,8C0B,,L8E88,8E88,,L9129,9129,,L9349,9349
L89AE,89AE,,L8C1B,8C1B,,L8E95,8E95,,L9130,9130,,L9351,9351
L89B4,89B4,,L8C25,8C25,,L8EA8,8EA8,,L913C,913C,,L9356,9356
L89B8,89B8,,L8C42,8C42,,L8EAE,8EAE,,L9141,9141,,L935B,935B
L89BF,89BF,,L8C44,8C44,,L8EB4,8EB4,,L915A,915A,,L9366,9366
L89C0,89C0,,L8C5F,8C5F,,L8EB7,8EB7,,L9167,9167,,L9377,9377
L89D2,89D2,,L8C62,8C62,,L8EB9,8EB9,,L916F,916F,,L938F,938F
L89E1,89E1,,L8C85,8C85,,L8EBB,8EBB,,L9177,9177,,L939E,939E
L89FC,89FC,,L8C96,8C96,,L8ED2,8ED2,,L9185,9185,,L93B2,93B2
