ALINK12,E288,,EXECCART,A05E,,IM.MMU,E0E1,,LB657,B657,,LC271,C271
ALINK14,E389,,FP0EXP,004F,,IM.PALET,E678,,LB70E,B70E,,LC275,C275
ALINK15,E429,,FPA0,0050,,IM.RGB,E664,,LB734,B734,,LC277,C277
ALINK16,E413,,FRETOP,0021,,IM.TEXT,E032,,LB73D,B73D,,LC278,C278
ALINK17,E532,,FUNDIC20,E264,,INIT0,FF90,,LB740,B740,,LC28A,C28A
ALINK18,E3B4,,FUNDIS20,E27E,,INIT1,FF91,,LB89D,B89D,,LC28C,C28C
ALINK19,E4D0,,G1BITPIX,E7FF,,INT.FLAG,FEED,,LB8D7,B8D7,,LC28D,C28D
ALINK2,E138,,G2BITBIX,E820,,INTCNV,B3ED,,LB905,B905,,LC294,C294
ALINK20,E470,,G4BITPIX,E83F,,INTIMAGE,C359,,LB958,B958,,LC296,C296
ALINK21,E502,,GETBLOK0,E00A,,KEYIN,A1CB,,LB95C,B95C,,LC297,C297
ALINK22,F7AE,,GETCCH,00A5,,L4000,4000,,LB95F,B95F,,LC299,C299
ALINK23,F6AD,,GETNCH,009F,,L80B8,80B8,,LB9D7,B9D7,,LC29B,C29B
ALINK24,F77E,,GETTASK0,E00C,,L80E7,80E7,,LBA92,BA92,,LC29C,C29C
ALINK25,F8C3,,GETTASK1,E00E,,L8800,8800.0,,LBC35,BC35,,LC29E,C29E
ALINK26,F8A3,,GETTEXT,E008,,L883F,883F,,LBCC8,BCC8,,LC2A0,C2A0
ALINK27,F757,,GIVABF,B4F4,,LA0CE,A0CE,,LBDD9,BDD9,,LC2A1,C2A1
ALINK28,E297,,H.BCOLOR,FE0B,,LA35F,A35F,,LC000,C000,,LC2A3,C2A3
ALINK29,E29D,,H.COLUMN,FE04,,LA390,A390,,LC00D,C00D,,LC2A5,C2A5
ALINK3,E172,,H.CRSATT,FE08,,LA3C6,A3C6,,LC01B,C01B,,LC2A6,C2A6
ALINK4,E192,,H.CRSLOC,FE00,,LA554,A554,,LC02F,C02F,,LC2A8,C2A8
ALINK5,E1A6,,H.CURSX,FE02,,LA7D3,A7D3,,LC056,C056,,LC2AA,C2AA
ALINK6A,E3F8,,H.CURSY,FE03,,LA928,A928,,LC091,C091,,LC2AB,C2AB
ALINK6B,E40C,,H.DISPEN,FE06,,LAC33,AC33,,LC0B1,C0B1,,LC2AE,C2AE
ALLCOL,00B5,,H.ERLINE,FE13,,LAC44,AC44,,LC0C2,C0C2,,LC2B0,C2B0
ANGLE,00E8,,H.ERRBRK,FE17,,LAC46,AC46,,LC0C9,C0C9,,LC2B1,C2B1
ATTR,F9B9,,H.ERROR,FE10,,LAC49,AC49,,LC0DC,C0DC,,LC2B2,C2B2
AUTHORMS,F71B,,H.FCOLOR,FE0A,,LAC65,AC65,,LC0F1,C0F1,,LC2B4,C2B4
AUTHPIC,C405,,H.ONBRK,FE0C,,LAC76,AC76,,LC0F6,C0F6,,LC2B5,C2B5
BAS20ERR,E4CC,,H.ONBRKS,FE15,,LACA0,ACA0,,LC106,C106,,LC2B8,C2B8
BASIC,A000,,H.ONERR,FE0E,,LAD05,AD05,,LC10C,C10C,,LC2BA,C2BA
BEGMOVE,C03F,,H.ONERRS,FE11,,LAD19,AD19,,LC137,C137,,LC2BB,C2BB
BINVAL,002B,,H.PBUF,FE19,,LAD43,AD43,,LC165,C165,,LC2BF,C2BF
BLKCNT,0094,,H.PCOUNT,FE18,,LADC4,ADC4,,LC175,C175,,LC2C1,C2C1
BRK,E3E6,,HBUFF,ED58,,LADD4,ADD4,,LC180,C180,,LC2C2,C2C2
BUTTON,E5B1,,HCALPOS,E7DA,,LADF4,ADF4,,LC185,C185,,LC2C6,C2C6
CALTABLE,E7DE,,HCIRCLE,EA49,,LAE09,AE09,,LC18C,C18C,,LC2C8,C2C8
CHARAD,00A6,,HCLS,E6CF,,LAE11,AE11,,LC19A,C19A,,LC2C9,C2C9
CHGFLG,00DB,,HCOLOR,E6F4,,LAEBB,AEBB,,LC1AA,C1AA,,LC2CB,C2CB
CIRCDATA,EB99,,HDRAW,F39D,,LAEEB,AEEB,,LC1B1,C1B1,,LC2CD,C2CD
CLRHIRES,E6D8,,HGET,EDE5,,LAF45,AF45,,LC1DE,C1DE,,LC2CE,C2CE
CMP,E676,,HLINE,E882,,LAF67,AF67,,LC1E7,C1E7,,LC2D1,C2D1
COL32,F652,,HORBEG,00BD,,LB141,B141,,LC1F0,C1F0,,LC2D3,C2D3
COL40,F65C,,HORBYT,00B9,,LB156,B156,,LC20A,C20A,,LC2D4,C2D4
COL80,F679,,HORDEF,00C7,,LB262,B262,,LC22A,C22A,,LC2D8,C2D8
COMDIC20,E1C5,,HOREND,00C3,,LB267,B267,,LC24E,C24E,,LC2DA,C2DA
COMDIS20,E236,,HPAINT,EBF5,,LB26A,B26A,,LC257,C257,,LC2DB,C2DB
CURLIN,0068,,HPOINT,E85C,,LB26F,B26F,,LC259,C259,,LC2DE,C2DE
DCNVEC,C004,,HPRINT,EF3F,,LB277,B277,,LC25A,C25A,,LC2E0,C2E0
DEVNUM,006F,,HPUT,EDED,,LB284,B284,,LC25B,C25B,,LC2E1,C2E1
DISK20MS,E2A3,,HRESBUFF,C000,,LB2CE,B2CE,,LC25D,C25D,,LC2E4,C2E4
DISK21MS,E316,,HRESET,E765,,LB357,B357,,LC25E,C25E,,LC2E6,C2E6
DOSBAS,C000,,HRMODE,00E6,,LB3A2,B3A2,,LC261,C261,,LC2E7,C2E7
EBCOMTAB,E162,,HRWIDTH,00E7,,LB3E9,B3E9,,LC263,C263,,LC2EA,C2EA
ENDMOVE,C36C,,HSCREEN,E688,,LB4F3,B4F3,,LC264,C264,,LC2EC,C2EC
ERLIN,E4FD,,HSET,E761,,LB511,B511,,LC267,C267,,LC2ED,C2ED
ERNO,E4E9,,HSTAT,F925,,LB516,B516,,LC269,C269,,LC2F0,C2F0
ERR,E3D4,,ILLFUNC,B44A,,LB54C,B54C,,LC26A,C26A,,LC2F2,C2F2
EVALEXPB,B70B,,IM.CMP,E654,,LB56D,B56D,,LC26E,C26E,,LC2F3,C2F3
EXBAS,8000,,IM.GRAPH,E070,,LB654,B654,,LC270,C270,,LC2FB,C2FB
LC2FD,C2FD,,LE1DD,E1DD,,LE36A,E36A,,LE73B,E73B,,LEA29,EA29
LC2FE,C2FE,,LE1E1,E1E1,,LE36B,E36B,,LE759,E759,,LEA2B,EA2B
LC301,C301,,LE1E7,E1E7,,LE386,E386,,LE75D,E75D,,LEA2D,EA2D
LC303,C303,,LE1ED,E1ED,,LE3C2,E3C2,,LE76A,E76A,,LEA33,EA33
LC304,C304,,LE1F4,E1F4,,LE3CF,E3CF,,LE77F,E77F,,LEA34,EA34
LC307,C307,,LE1F9,E1F9,,LE424,E424,,LE782,E782,,LEA3D,EA3D
LC309,C309,,LE1FD,E1FD,,LE426,E426,,LE788,E788,,LEA44,EA44
LC30A,C30A,,LE201,E201,,LE430,E430,,LE792,E792,,LEA45,EA45
LC30D,C30D,,LE206,E206,,LE43F,E43F,,LE7AA,E7AA,,LEA59,EA59
LC322,C322,,LE20C,E20C,,LE446,E446,,LE7AD,E7AD,,LEA95,EA95
LC334,C334,,LE20F,E20F,,LE449,E449,,LE7B0,E7B0,,LEA9F,EA9F
LC33B,C33B,,LE212,E212,,LE458,E458,,LE7B2,E7B2,,LEAB3,EAB3
LC349,C349,,LE218,E218,,LE466,E466,,LE7B9,E7B9,,LEAC7,EAC7
LC351,C351,,LE21D,E21D,,LE47D,E47D,,LE7BF,E7BF,,LEAE7,EAE7
LC352,C352,,LE221,E221,,LE488,E488,,LE7CD,E7CD,,LEB13,EB13
LC355,C355,,LE227,E227,,LE496,E496,,LE7D0,E7D0,,LEB1E,EB1E
LC356,C356,,LE22C,E22C,,LE49F,E49F,,LE7D7,E7D7,,LEB20,EB20
LC35A,C35A,,LE22F,E22F,,LE4B0,E4B0,,LE7E6,E7E6,,LEB32,EB32
LD67F,D67F,,LE232,E232,,LE4B3,E4B3,,LE875,E875,,LEB3D,EB3D
LDC05,DC05,,LE238,E238,,LE4C7,E4C7,,LE87B,E87B,,LEB3F,EB3F
LE010,E010,,LE23A,E23A,,LE4CE,E4CE,,LE899,E899,,LEB48,EB48
LE033,E033,,LE23C,E23C,,LE4F4,E4F4,,LE8B3,E8B3,,LEB53,EB53
LE03B,E03B,,LE23E,E23E,,LE4F9,E4F9,,LE8B4,E8B4,,LEB5C,EB5C
LE03C,E03C,,LE240,E240,,LE4FA,E4FA,,LE8EB,E8EB,,LEB5F,EB5F
LE044,E044,,LE242,E242,,LE51E,E51E,,LE8F2,E8F2,,LEB60,EB60
LE045,E045,,LE244,E244,,LE528,E528,,LE8F4,E8F4,,LEB73,EB73
LE063,E063,,LE246,E246,,LE52B,E52B,,LE8F6,E8F6,,LEB7B,EB7B
LE06D,E06D,,LE248,E248,,LE58E,E58E,,LE905,E905,,LEB91,EB91
LE06E,E06E,,LE24A,E24A,,LE59A,E59A,,LE906,E906,,LEB9B,EB9B
LE06F,E06F,,LE24C,E24C,,LE5AF,E5AF,,LE913,E913,,LEB9D,EB9D
LE071,E071,,LE24E,E24E,,LE5D5,E5D5,,LE921,E921,,LEBA1,EBA1
LE079,E079,,LE250,E250,,LE5D9,E5D9,,LE92F,E92F,,LEBA5,EBA5
LE07A,E07A,,LE252,E252,,LE5E3,E5E3,,LE931,E931,,LEBA9,EBA9
LE08B,E08B,,LE254,E254,,LE5EA,E5EA,,LE93E,E93E,,LEBAB,EBAD
LE0CB,E0CB,,LE256,E256,,LE5EC,E5EC,,LE94E,E94E,,LEBAF,EBB1
LE0E9,E0E9,,LE258,E258,,LE5FA,E5FA,,LE95D,E95D,,LEBB5,EBB5
LE0F1,E0F1,,LE25A,E25A,,LE600,E600,,LE96C,E96C,,LEBB9,EBB9
LE0F7,E0F7,,LE25C,E25C,,LE606,E606,,LE977,E977,,LEBBD,EBBD
LE148,E148,,LE25E,E25E,,LE60C,E60C,,LE988,E988,,LEBCA,EBCA
LE14D,E14D,,LE260,E260,,LE62A,E62A,,LE98D,E98D,,LEBCB,EBCB
LE152,E152,,LE262,E262,,LE634,E634,,LE9AD,E9AD,,LEBEA,EBEA
LE158,E158,,LE269,E269,,LE648,E648,,LE9B1,E9B1,,LEC05,EC05
LE15B,E15B,,LE26F,E26F,,LE64A,E64A,,LE9B8,E9B8,,LEC1D,EC1D
LE15D,E15D,,LE275,E275,,LE693,E693,,LE9B9,E9B9,,LEC47,EC47
LE163,E163,,LE279,E279,,LE69C,E69C,,LE9BF,E9BF,,LEC4A,EC4A
LE165,E165,,LE280,E280,,LE6A5,E6A5,,LE9C6,E9C6,,LEC51,EC51
LE167,E167,,LE282,E282,,LE6B9,E6B9,,LE9CC,E9CC,,LEC6A,EC6A
LE168,E168,,LE284,E284,,LE6BC,E6BC,,LE9CD,E9CD,,LEC6E,EC6E
LE16A,E16A,,LE286,E286,,LE6CB,E6CB,,LE9D1,E9D1,,LEC80,EC80
LE16C,E16C,,LE2C0,E2C0,,LE6D6,E6D6,,LE9DB,E9DB,,LEC83,EC83
LE18B,E18B,,LE2C1,E2C1,,LE6E4,E6E4,,LE9E1,E9E1,,LEC86,EC86
LE19A,E19A,,LE2DA,E2DA,,LE6EF,E6EF,,LE9F0,E9F0,,LEC88,EC88
LE19E,E19E,,LE2DB,E2DB,,LE705,E705,,LEA04,EA04,,LEC9B,EC9B
LE1AE,E1AE,,LE2F7,E2F7,,LE70D,E70D,,LEA0A,EA0A,,LECA5,ECA5
LE1B2,E1B2,,LE313,E313,,LE70E,E70E,,LEA0D,EA0D,,LECB7,ECB7
LE1BF,E1BF,,LE333,E333,,LE711,E711,,LEA16,EA16,,LECBA,ECBA
LE1CA,E1CA,,LE334,E334,,LE718,E718,,LEA21,EA21,,LECBE,ECBE
LE1D1,E1D1,,LE33D,E34D,,LE72F,E72F,,LEA25,EA25,,LECC7,ECC7
LE1D8,E1D8,,LE33E,E34E,,LE731,E731,,LEA27,EA27,,LECCD,ECCD
LECD1,ECD1,,LEF7F,EF7F,,LF1DD,F1DD,,LF3C5,F3C5,,LF6DC,F6DC
LECE8,ECE8,,LEF8E,EF8E,,LF1E5,F1E5,,LF3CF,F3CF,,LF6E0,F6E0
LECEA,ECEA,,LEF96,EF96,,LF1ED,F1ED,,LF3E6,F3E6,,LF6E7,F6E7
LECF1,ECF1,,LEFA3,EFA3,,LF1F5,F1F5,,LF3EE,F3EE,,LF719,F719
LED01,ED01,,LEFAD,EFAD,,LF1FD,F1FD,,LF417,F417,,LF730,F730
LED15,ED15,,LEFD9,EFD9,,LF205,F205,,LF445,F445,,LF74D,F74D
LED20,ED20,,LEFDB,EFDB,,LF20D,F20D,,LF451,F451,,LF75E,F75E
LED2E,ED2E,,LEFFE,EFFE,,LF215,F215,,LF45C,F45C,,LF761,F761
LED3A,ED3A,,LF001,F001,,LF21D,F21D,,LF467,F467,,LF766,F766
LED3F,ED3F,,LF002,F002,,LF225,F225,,LF46D,F46D,,LF772,F772
LED4E,ED4E,,LF004,F004,,LF22D,F22D,,LF46F,F46F,,LF778,F778
LED72,ED72,,LF006,F006,,LF235,F235,,LF473,F473,,LF787,F787
LED85,ED85,,LF008,F008,,LF23D,F23D,,LF47D,F47D,,LF79F,F79F
LED95,ED95,,LF00A,F00A,,LF245,F245,,LF485,F485,,LF7A4,F7A4
LED97,ED97,,LF01A,F01A,,LF24D,F24D,,LF487,F487,,LF7A8,F7A8
LEDA3,EDA3,,LF035,F035,,LF255,F255,,LF48C,F48C,,LF7C4,F7C4
LEDB0,EDB0,,LF045,F045,,LF25D,F25D,,LF492,F492,,LF7CC,F7CC
LEDBD,EDBD,,LF06C,F06C,,LF265,F265,,LF496,F496,,LF7D7,F7D7
LEDC4,EDC4,,LF08C,F08C,,LF26D,F26D,,LF49A,F49A,,LF7DE,F7DE
LEDD2,EDD2,,LF09D,F09D,,LF275,F275,,LF4A1,F4A1,,LF7E2,F7E2
LEDD6,EDD6,,LF0A5,F0A5,,LF27D,F27D,,LF4B2,F4B2,,LF802,F802
LEDD8,EDD8,,LF0AD,F0AD,,LF285,F285,,LF4BF,F4BF,,LF807,F807
LEDF4,EDF4,,LF0B5,F0B5,,LF28D,F28D,,LF4D0,F4D0,,LF827,F827
LEE06,EE06,,LF0BD,F0BD,,LF295,F295,,LF4D1,F4D1,,LF82E,F82E
LEE23,EE23,,LF0C5,F0C5,,LF29D,F29D,,LF4D4,F4D4,,LF854,F854
LEE28,EE28,,LF0CD,F0CD,,LF2A5,F2A5,,LF4E5,F4E5,,LF860,F860
LEE34,EE34,,LF0D5,F0D5,,LF2AD,F2AD,,LF4F1,F4F1,,LF86A,F86A
LEE38,EE38,,LF0DD,F0DD,,LF2B5,F2B5,,LF4FC,F4FC,,LF86E,F86E
LEE50,EE50,,LF0E5,F0E5,,LF2BD,F2BD,,LF507,F507,,LF87B,F87B
LEE5D,EE5D,,LF0ED,F0ED,,LF2C5,F2C5,,LF510,F510,,LF88A,F88A
LEE6D,EE6D,,LF0F5,F0F5,,LF2CD,F2CD,,LF51F,F51F,,LF8AB,F8AB
LEE92,EE92,,LF0FD,F0FD,,LF2D5,F2D5,,LF527,F527,,LF8B1,F8B1
LEE96,EE96,,LF105,F105,,LF2DD,F2DD,,LF53B,F53B,,LF8CD,F8CD
LEEA7,EEA7,,LF10D,F10D,,LF2E5,F2E5,,LF545,F545,,LF8EB,F8EB
LEEAB,EEAB,,LF115,F115,,LF2ED,F2ED,,LF54C,F54C,,LF8ED,F8ED
LEEC0,EEC0,,LF11D,F11D,,LF2F5,F2F5,,LF570,F570,,LF963,F963
LEEC7,EEC7,,LF125,F125,,LF2FD,F2FD,,LF575,F575,,LF9E3,F9E3
LEED3,EED3,,LF12D,F12D,,LF305,F305,,LF578,F578,,LF9F6,F9F6
LEEE0,EEE0,,LF135,F135,,LF30D,F30D,,LF583,F583,,LFA06,FA06
LEEE2,EEE2,,LF13D,F13D,,LF315,F315,,LF584,F584,,LFA0C,FA0C
LEEE3,EEE3,,LF145,F145,,LF31D,F31D,,LF590,F590,,LFE00,FE00
LEEE5,EEE5,,LF14D,F14D,,LF325,F325,,LF591,F591,,LFF00,FF00
LEEE6,EEE6,,LF155,F155,,LF32D,F32D,,LF593,F593,,LOCATE,F8D2
LEEE8,EEE8,,LF15D,F15D,,LF335,F335,,LF5A7,F5A7,,LPEEK,E573
LEEE9,EEE9,,LF165,F165,,LF33D,F33D,,LF5B6,F5B6,,LPOKE,E545
LEEEB,EEEB,,LF16D,F16D,,LF345,F345,,LF5C1,F5C1,,MICROMS,F702
LEEEC,EEEC,,LF175,F175,,LF34D,F34D,,LF5DA,F5DA,,MMUIMAGE,C246
LEEEE,EEEE,,LF17D,F17D,,LF355,F355,,LF5DD,F5DD,,MMUREG,FFA0
LEEEF,EEEF,,LF185,F185,,LF35D,F35D,,LF5F2,F5F2,,MOVE.XY,C1D6
LEEF6,EEF6,,LF18D,F18D,,LF365,F365,,LF5FA,F5FA,,MWAREMS,E2F8
LEEFE,EEFE,,LF195,F195,,LF36D,F36D,,LF5FD,F5FD,,NEGACCD,F4CC
LEF07,EF07,,LF19D,F19D,,LF375,F375,,LF608,F608,,NOWARM,C0DE
LEF10,EF10,,LF1A5,F1A5,,LF37D,F37D,,LF610,F610,,OLDPTR,002D
LEF18,EF18,,LF1AD,F1AD,,LF385,F385,,LF611,F611,,PALETTE,E5F0
LEF25,EF25,,LF1B5,F1B5,,LF38D,F38D,,LF61F,F61F,,PALETREG,FFB0
LEF2C,EF2C,,LF1BD,F1BD,,LF395,F395,,LF64F,F64F,,PALIMAGE,C236
LEF62,EF62,,LF1C5,F1C5,,LF3B8,F3B8,,LF66D,F66D,,PATCH28,C0C6
LEF6C,EF6C,,LF1CD,F1CD,,LF3BD,F3BD,,LF68C,F68C,,PATCH29,C0D9
LEF75,EF75,,LF1D5,F1D5,,LF3C3,F3C3,,LF69B,F69B,,PATCH30,C8B4
PATCHTAB,C256,,VEREND,00C5,,,,,,,,,
PIA0,FF00,,VIDEOREG,FF98,,,,,,,,,
PIA1,FF20,,VIDIMAGE,C22E,,,,,,,,,
PIX1MASK,E7F1,,VIDRAM,0400,,,,,,,,,
PIX2MASK,E7F9,,WAITLOOP,C22C,,,,,,,,,
PIX4MASK,E7FD,,WCOLOR,00B4,,,,,,,,,
PIXELFIL,E742,,WIDTH,F636,,,,,,,,,
PRGGRAPH,E004,,ZERO,008A,,,,,,,,,
PRGMMU,E006,,,,,,,,,,,,
PRGTEXT,E002,,,,,,,,,,,,
RAMLINK,0000,,,,,,,,,,,,
RESTABLE,E06C,,,,,,,,,,,,
RESVEC,A027,,,,,,,,,,,,
RGB,E674,,,,,,,,,,,,
RSTFLG,0071,,,,,,,,,,,,
RSTVEC,0072,,,,,,,,,,,,
SAM,FFC0,,,,,,,,,,,,
SCALE,00E9,,,,,,,,,,,,
SELBLOK0,E0A1,,,,,,,,,,,,
SELTASK0,E0FF,,,,,,,,,,,,
SELTASK1,E119,,,,,,,,,,,,
SELTEXT,E0B5,,,,,,,,,,,,
SETFLG,00C2,,,,,,,,,,,,
SETGRAPH,E04D,,,,,,,,,,,,
SETMMU,E097,,,,,,,,,,,,
SETTEXT,E019,,,,,,,,,,,,
SETVIDEO,E082,,,,,,,,,,,,
SPARE0,E013,,,,,,,,,,,,
SPARE1,E015,,,,,,,,,,,,
SPARE2,E017,,,,,,,,,,,,
STRINOUT,B99C,,,,,,,,,,,,
SUPERVAR,E000,,,,,,,,,,,,
SYNCOMMA,B26D,,,,,,,,,,,,
TEMPPT,000B,,,,,,,,,,,,
TMERROR,B151,,,,,,,,,,,,
TMPSTACK,DFFF,,,,,,,,,,,,
TMPSTK,00DC,,,,,,,,,,,,
TXTTAB,0019,,,,,,,,,,,,
V.BORDER,FF9A,,,,,,,,,,,,
V.TIMER,FF94,,,,,,,,,,,,
V40,0040,,,,,,,,,,,,
V41,0041,,,,,,,,,,,,
V42,0042,,,,,,,,,,,,
V44,0044,,,,,,,,,,,,
VALTYP,0006,,,,,,,,,,,,
VARDES,003B,,,,,,,,,,,,
VCB,00CB,,,,,,,,,,,,
VCD,00CD,,,,,,,,,,,,
VCF,00CF,,,,,,,,,,,,
VD1,00D1,,,,,,,,,,,,
VD3,00D3,,,,,,,,,,,,
VD4,00D4,,,,,,,,,,,,
VD5,00D5,,,,,,,,,,,,
VD6,00D6,,,,,,,,,,,,
VD7,00D7,,,,,,,,,,,,
VD8,00D8,,,,,,,,,,,,
VD9,00D9,,,,,,,,,,,,
VERBEG,00BF,,,,,,,,,,,,
VERDEF,00C9,,,,,,,,,,,,
